dataset,n_train,n_test,n_deceptive_test,accuracy,f1_macro,f1_deceptive,precision,recall,roc_auc
MU3D,71192,320,160,0.5344,0.4596,0.6606,0.5197,0.9062,0.5617
bluff,70759,753,502,0.5352,0.4509,0.666,0.6392,0.6952,0.4254
boulder lies and truth,70020,1492,439,0.3324,0.3043,0.4442,0.2942,0.9066,0.4973
box of lies,70525,987,815,0.6849,0.5517,0.7961,0.8549,0.7448,0.6025
cross cultural deception,70912,600,300,0.5733,0.529,0.6735,0.5455,0.88,0.6505
deceptive opinion spam,70712,800,400,0.5575,0.4707,0.6851,0.5318,0.9625,0.6964
derev,67077,4435,1752,0.4607,0.4601,0.477,0.3866,0.6227,0.4954
fake job postings,66512,5000,224,0.9442,0.5455,0.1199,0.2043,0.0848,0.4895
hippocorpus,66512,5000,2011,0.4448,0.3932,0.5701,0.414,0.9155,0.5699
li et al 2015 doctor,70956,556,356,0.5971,0.4628,0.7314,0.6381,0.8567,0.4711
li et al 2015 hotel,69636,1876,1080,0.6002,0.5381,0.7075,0.6112,0.8398,0.6144
li et al 2015 restaurant,71112,400,200,0.61,0.5755,0.6965,0.5701,0.895,0.6864
nazario trec 2007 email spam,66512,5000,2788,0.6678,0.6514,0.7269,0.671,0.793,0.7641
negative deceptive opinion spam,70716,796,400,0.5754,0.522,0.6817,0.5468,0.905,0.6457
open domain,66512,5000,2538,0.5468,0.5434,0.583,0.547,0.6241,0.5649
stapel science fraud,66512,5000,1357,0.644,0.4915,0.2131,0.2663,0.1776,0.5126
stony brook opinions,69912,1600,800,0.4963,0.3601,0.6553,0.498,0.9575,0.4877
stony brook reviews,70512,1000,500,0.499,0.416,0.6362,0.4994,0.876,0.5689
trec 2005 email spam,66512,5000,2241,0.7516,0.7515,0.7461,0.6884,0.8144,0.8141
ultimate deception,71136,376,238,0.6223,0.4558,0.7568,0.6387,0.9286,0.5674
zeng et al 2022 fake news,66512,5000,2213,0.617,0.597,0.5071,0.5891,0.4451,0.6404
zeng et al 2022 job scams,66512,5000,212,0.9476,0.5584,0.1438,0.234,0.1038,0.4932
zeng et al 2022 phishing,66512,5000,2000,0.7262,0.713,0.6514,0.6637,0.6395,0.7846
zeng et al 2022 political statements,66512,5000,2206,0.5292,0.5217,0.4618,0.4659,0.4578,0.5256
zeng et al 2022 product reviews,66512,5000,2502,0.5222,0.4789,0.6291,0.5143,0.8098,0.5486
