dataset,n_train,n_test,n_deceptive_test,accuracy,f1_macro,f1_deceptive,precision,recall,roc_auc
MU3D,71192,320,160,0.5531,0.5489,0.5926,0.5445,0.65,0.5627
bluff,70759,753,502,0.3944,0.3943,0.4016,0.5885,0.3048,0.4259
boulder lies and truth,70020,1492,439,0.4323,0.4312,0.4064,0.2935,0.6606,0.4954
box of lies,70525,987,815,0.5988,0.5096,0.7188,0.8533,0.6209,0.6052
cross cultural deception,70912,600,300,0.605,0.6042,0.622,0.5963,0.65,0.6495
deceptive opinion spam,70712,800,400,0.6388,0.6377,0.6572,0.6253,0.6925,0.7015
derev,67077,4435,1752,0.5468,0.4913,0.3232,0.3941,0.274,0.4931
fake job postings,66512,5000,224,0.9482,0.5354,0.0976,0.2222,0.0625,0.4868
hippocorpus,66512,5000,2011,0.5282,0.5282,0.532,0.4426,0.6668,0.5699
li et al 2015 doctor,70956,556,356,0.4838,0.4599,0.5736,0.6088,0.5421,0.4721
li et al 2015 hotel,69636,1876,1080,0.5592,0.5562,0.52,0.6967,0.4148,0.621
li et al 2015 restaurant,71112,400,200,0.6225,0.6185,0.5794,0.6541,0.52,0.6915
nazario trec 2007 email spam,66512,5000,2788,0.7156,0.7155,0.7212,0.7954,0.6596,0.7627
negative deceptive opinion spam,70716,796,400,0.5917,0.5858,0.5364,0.6246,0.47,0.6502
open domain,66512,5000,2538,0.5468,0.5461,0.5283,0.56,0.5,0.5648
stapel science fraud,66512,5000,1357,0.671,0.4742,0.1525,0.2534,0.1091,0.5138
stony brook opinions,69912,1600,800,0.485,0.4488,0.59,0.4901,0.7412,0.4897
stony brook reviews,70512,1000,500,0.562,0.5618,0.5706,0.5596,0.582,0.5731
trec 2005 email spam,66512,5000,2241,0.7802,0.776,0.7453,0.7753,0.7175,0.8148
ultimate deception,71136,376,238,0.6037,0.5322,0.7151,0.6561,0.7857,0.5656
zeng et al 2022 fake news,66512,5000,2213,0.5818,0.4475,0.1751,0.6894,0.1003,0.6456
zeng et al 2022 job scams,66512,5000,212,0.9556,0.5516,0.126,0.381,0.0755,0.4912
zeng et al 2022 phishing,66512,5000,2000,0.6808,0.6129,0.4508,0.723,0.3275,0.7949
zeng et al 2022 political statements,66512,5000,2206,0.5482,0.5115,0.3775,0.4814,0.3105,0.5266
zeng et al 2022 product reviews,66512,5000,2502,0.545,0.545,0.542,0.546,0.538,0.5489
