model,feature,feature_label,beta,se,t_stat,p_value,ci_lo,ci_hi,r2_insample,r2_loo
OLS,vocab_jaccard,Vocabulary Jaccard similarity,0.0278,0.0869,0.3201,0.7528,-0.1555,0.2111,0.3114,-0.4725
OLS,vocab_coverage,Vocabulary coverage,0.0266,0.0554,0.4803,0.6371,-0.0902,0.1434,0.3114,-0.4725
OLS,js_divergence,Jensen--Shannon distance,0.0295,0.0798,0.3697,0.7162,-0.1389,0.1979,0.3114,-0.4725
OLS,tfidf_cosine_dist,TF-IDF centroid cosine distance,-0.0224,0.0378,-0.5926,0.5612,-0.102,0.0573,0.3114,-0.4725
OLS,sbert_cosine_dist,SBERT centroid cosine distance,0.0445,0.0336,1.3247,0.2028,-0.0264,0.1154,0.3114,-0.4725
OLS,mean_text_length,Mean document length,-0.0195,0.041,-0.476,0.6402,-0.1061,0.067,0.3114,-0.4725
OLS,pct_deceptive,Proportion deceptive labels,-0.0203,0.0299,-0.6782,0.5068,-0.0833,0.0428,0.3114,-0.4725
Ridge(alpha=0.01),vocab_jaccard,Vocabulary Jaccard similarity,0.0275,,,,-0.2197,0.2548,0.3114,-0.4675
Ridge(alpha=0.01),vocab_coverage,Vocabulary coverage,0.0265,,,,-0.1743,0.2035,0.3114,-0.4675
Ridge(alpha=0.01),js_divergence,Jensen--Shannon distance,0.0292,,,,-0.168,0.2078,0.3114,-0.4675
Ridge(alpha=0.01),tfidf_cosine_dist,TF-IDF centroid cosine distance,-0.0223,,,,-0.1396,0.0595,0.3114,-0.4675
Ridge(alpha=0.01),sbert_cosine_dist,SBERT centroid cosine distance,0.0445,,,,-0.0279,0.1439,0.3114,-0.4675
Ridge(alpha=0.01),mean_text_length,Mean document length,-0.0195,,,,-0.1485,0.0347,0.3114,-0.4675
Ridge(alpha=0.01),pct_deceptive,Proportion deceptive labels,-0.0202,,,,-0.0793,0.0839,0.3114,-0.4675
