dataset,n_train,n_test,n_deceptive_test,accuracy,f1_macro,f1_deceptive,precision,recall,roc_auc
MU3D,71192,320,160,0.4625,0.4455,0.5426,0.4722,0.6375,0.4514
bluff,70759,753,502,0.5432,0.4705,0.6667,0.6491,0.6853,0.4478
boulder lies and truth,70020,1492,439,0.3452,0.3294,0.4323,0.2902,0.8474,0.4742
box of lies,70525,987,815,0.691,0.5136,0.8073,0.832,0.784,0.5717
cross cultural deception,70912,600,300,0.5483,0.5436,0.4972,0.5607,0.4467,0.561
deceptive opinion spam,70712,800,400,0.5962,0.5276,0.7077,0.5546,0.9775,0.7969
derev,67077,4435,1752,0.4113,0.3712,0.53,0.3871,0.8402,0.5096
fake job postings,66512,5000,224,0.943,0.5927,0.2149,0.2806,0.1741,0.6201
hippocorpus,66512,5000,2011,0.5598,0.5362,0.4317,0.449,0.4157,0.545
li et al 2015 doctor,70956,556,356,0.5953,0.5497,0.693,0.6737,0.7135,0.5876
li et al 2015 hotel,69636,1876,1080,0.6167,0.5696,0.7121,0.6274,0.8231,0.6703
li et al 2015 restaurant,71112,400,200,0.63,0.596,0.7132,0.5823,0.92,0.7351
nazario trec 2007 email spam,66512,5000,2788,0.715,0.6962,0.7718,0.6971,0.8644,0.8097
negative deceptive opinion spam,70716,796,400,0.6407,0.6007,0.7271,0.588,0.9525,0.765
open domain,66512,5000,2538,0.5476,0.5239,0.6302,0.5386,0.7593,0.577
stapel science fraud,66512,5000,1357,0.6394,0.5241,0.2899,0.3113,0.2712,0.5156
stony brook opinions,69912,1600,800,0.5069,0.4859,0.3821,0.5115,0.305,0.5221
stony brook reviews,70512,1000,500,0.538,0.4981,0.6396,0.5243,0.82,0.5446
trec 2005 email spam,66512,5000,2241,0.7776,0.7768,0.79,0.6848,0.9335,0.917
ultimate deception,71136,376,238,0.6543,0.5422,0.7687,0.6667,0.9076,0.6154
zeng et al 2022 fake news,66512,5000,2213,0.5922,0.5435,0.3944,0.5754,0.3,0.5964
zeng et al 2022 job scams,66512,5000,212,0.9482,0.5447,0.116,0.2099,0.0802,0.5879
zeng et al 2022 phishing,66512,5000,2000,0.6786,0.6613,0.5846,0.6051,0.5655,0.744
zeng et al 2022 political statements,66512,5000,2206,0.5316,0.5312,0.5183,0.4744,0.5712,0.5508
zeng et al 2022 product reviews,66512,5000,2502,0.5488,0.5422,0.5971,0.5397,0.6683,0.5599
