dataset,n_train,n_test,n_deceptive_test,accuracy,f1_macro,f1_deceptive,precision,recall,roc_auc
MU3D,71192,320,160,0.5531,0.5192,0.6469,0.5347,0.8187,0.5897
bluff,70759,753,502,0.4661,0.4631,0.5037,0.6623,0.4064,0.4887
boulder lies and truth,70020,1492,439,0.4316,0.4305,0.4045,0.2924,0.656,0.4717
box of lies,70525,987,815,0.5137,0.4667,0.625,0.8602,0.4908,0.5861
cross cultural deception,70912,600,300,0.59,0.583,0.5287,0.6216,0.46,0.6458
deceptive opinion spam,70712,800,400,0.89,0.8891,0.8993,0.8291,0.9825,0.9787
derev,67077,4435,1752,0.5337,0.5117,0.4081,0.4093,0.407,0.5138
fake job postings,66512,5000,224,0.958,0.5822,0.186,0.7059,0.1071,0.8219
stony brook opinions,69912,1600,800,0.5375,0.5246,0.603,0.5282,0.7025,0.5425
stony brook reviews,70512,1000,500,0.549,0.5254,0.6312,0.5339,0.772,0.5868
trec 2005 email spam,66512,5000,2241,0.8104,0.8094,0.7957,0.7695,0.8237,0.8999
ultimate deception,71136,376,238,0.5612,0.5312,0.6497,0.6567,0.6429,0.5528
zeng et al 2022 fake news,66512,5000,2213,0.5806,0.424,0.1237,0.8222,0.0669,0.6721
zeng et al 2022 job scams,66512,5000,212,0.9598,0.6215,0.2637,0.5902,0.1698,0.8003
zeng et al 2022 phishing,66512,5000,2000,0.7746,0.7598,0.7,0.7484,0.6575,0.8627
zeng et al 2022 political statements,66512,5000,2206,0.5588,0.519,0.3807,0.5,0.3073,0.5442
zeng et al 2022 product reviews,66512,5000,2502,0.5398,0.5244,0.4386,0.5629,0.3593,0.5582
hippocorpus,66512,5000,2011,0.5118,0.5109,0.5323,0.433,0.6907,0.5684
li et al 2015 doctor,70956,556,356,0.5216,0.5081,0.5895,0.6541,0.5365,0.5381
li et al 2015 hotel,69636,1876,1080,0.8129,0.812,0.8248,0.8949,0.7648,0.896
li et al 2015 restaurant,71112,400,200,0.7375,0.7352,0.7597,0.7004,0.83,0.8336
nazario trec 2007 email spam,66512,5000,2788,0.7778,0.7767,0.7926,0.8264,0.7615,0.8574
negative deceptive opinion spam,70716,796,400,0.8932,0.8932,0.8917,0.9091,0.875,0.958
open domain,66512,5000,2538,0.5336,0.5246,0.4592,0.5581,0.3901,0.5472
stapel science fraud,66512,5000,1357,0.4984,0.4534,0.2967,0.2395,0.3898,0.4496
